pair,chemistry,n_samples,median,q10,cohort1_median,cohort1_q10
FOLH1+STEAP1,v3,21,0.14906832298136646,0.0,0.69,0.45
FOLH1+STEAP1,v2,47,0.14666666666666667,0.02960857205335666,0.69,0.45
FOLH1+STEAP1,all,68,0.14786749482401657,0.0003767803068160977,0.69,0.45
FOLH1+PSCA,v3,21,0.01411646080161331,0.0,0.1,0.05
FOLH1+PSCA,v2,47,0.06910197869101979,0.001741094065068453,0.1,0.05
FOLH1+PSCA,all,68,0.0417816091954023,0.0,0.1,0.05
FOLH1,v3,21,0.33540372670807456,0.008591453764413294,,
FOLH1,v2,47,0.3233695652173913,0.10344827586206898,,
FOLH1,all,68,0.3277295587280986,0.028028399095250064,,
STEAP1,v3,21,0.25333333333333335,0.01348747591522158,,
STEAP1,v2,47,0.3950617283950617,0.13597376387487387,,
STEAP1,all,68,0.3837139423076923,0.08678428179589762,,
PSCA,v3,21,0.0288506281991624,0.0009043635541487678,,
PSCA,v2,47,0.2,0.010400654298850655,,
PSCA,all,68,0.14130434782608695,0.0030109631886691664,,
