activator,blocker,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,worst_xp_n_donors,worst_xp_n_cells,worst_all_n_donors,worst_all_n_cells,malignant_vs_benign,selectivity_xprostate,leak
STEAP1,SLC34A1,NOT,18,0.7388589084148407,0.87388515,0.86490196,0.3982169,0.6577778,0.70024097,prostate gland,luminal cell of prostate epithelium,0.49558282,lung,respiratory goblet cell,4,978,3,10277,0.47566825,0.37830234,False
STEAP1,CDH16,NOT,18,0.7388589084148407,0.87388515,0.8648304,0.3982169,0.6577778,0.70024097,prostate gland,luminal cell of prostate epithelium,0.49558282,lung,respiratory goblet cell,4,978,3,10277,0.47566825,0.37830234,False
STEAP2,MUC1,NOT,18,0.600257134437561,0.8433858,0.81068635,0.3137746,0.79555553,0.47727275,respiratory system,fibroblast,0.47727275,respiratory system,fibroblast,5,1671,5,1671,0.52961123,0.36611307,False
STEAP1,MUC1,NOT,18,0.5428265184164047,0.7323188,0.72897965,0.2631319,0.64444447,0.4105263,respiratory system,fibroblast,0.4105263,respiratory system,fibroblast,5,1671,5,1671,0.46918693,0.3217925,False
STEAP2,SLC34A1,NOT,18,0.9363804638385772,0.96760714,0.96082157,0.4334747,0.81333333,0.876923,prostate gland,luminal cell of prostate epithelium,0.65263414,bladder organ,bladder urothelial cell,6,26663,3,10277,0.5341325,0.314973,False
STEAP2,CDH16,NOT,18,0.9363804638385772,0.96760714,0.9607499,0.4334747,0.81333333,0.87948716,prostate gland,luminal cell of prostate epithelium,0.65568686,bladder organ,bladder urothelial cell,6,26663,3,10277,0.5341325,0.3119203,False
TMPRSS2,CDH16,NOT,18,0.8939394116401672,0.97035575,0.94572186,0.4251378,0.6814159,0.925641,prostate gland,luminal cell of prostate epithelium,0.90285206,colon,enterocyte of epithelium of large intestine,3,3666,3,10277,0.545218,0.06750369,False
TMPRSS2,SLC34A1,NOT,18,0.8939394116401672,0.97035575,0.9459241,0.42553365,0.6814159,0.92307687,prostate gland,luminal cell of prostate epithelium,0.9050802,colon,enterocyte of epithelium of large intestine,3,3666,3,10277,0.5448221,0.06527555,False
CD46,SLC34A1,NOT,18,0.8562985777854919,0.95789003,0.93405557,0.6236729,0.84865904,0.9627569,bladder organ,bladder urothelial cell,0.9627569,bladder organ,bladder urothelial cell,6,26663,6,26663,0.33421713,-0.0048668385,False
CD46,CDH16,NOT,18,0.8559119820594787,0.95789003,0.93385327,0.6236729,0.85057473,0.96493727,bladder organ,bladder urothelial cell,0.96493727,bladder organ,bladder urothelial cell,6,26663,6,26663,0.33421713,-0.007047236,False
